Id	Sentence	Expert Judgement	Crowd Flower Judgements	Average	Dataset
662	It inefficient heating, outdated electrical systems, and decaying plumbing.	2	[3, 3, 3, 3, 2]	2.6666666666666665	train
663	They miss the adventure and joy of seeking that there is more to this world.	3	[3, 3, 4, 4, 3]	3.3333333333333335	train
664	When they compose the add, they cut the bad information about their products and write only the informations that seem to atract the custmers.	3	[3, 3, 2, 3, 4]	3.0	train
665	We did not understand the concept of the subject then we lose the knowledge of that subject, example poor students did not very well in their subjects.	2	[3, 3, 3, 2, 2]	2.5	train
666	I would wish to give the best example of my times about how two young computer geniuses Sergey Brin and Larry Page who have revolutionised the information super highway called the internet.	3	[3, 3, 4, 2, 2]	2.8333333333333335	train
667	Even though they have less anxities to make their responsibilities.	2	[1, 2, 3, 4, 3]	2.5	train
668	This was mainly due to the development of the industry.	4	[4, 4, 3, 4, 4]	3.8333333333333335	train
669	This arguement is not only true now, it is since ages, i want to talk on a live example of Sir.	3	[3, 2, 3, 2, 3]	2.6666666666666665	test
670	When ever I look at ads in the paper or on TV, I'm really sick of enterprener's unconciousness and greed.	3	[3, 2, 3, 3, 3]	2.8333333333333335	train
671	I am a woman, so I wish that my face and body keep beautifully for a long time.	3	[4, 2, 3, 3, 3]	3.0	train
672	Last one is they have to study about disease which means that will be save.	2	[3, 4, 1, 1, 3]	2.3333333333333335	test
673	Moreover before the oil and gas gone scientist will make new car that go by electricity or by sun light.	2	[3, 2, 2, 3, 2]	2.3333333333333335	dev
674	why?	4	[3, 3, 4, 4, 4]	3.6666666666666665	train
675	The consumers also know how advertisemnets are.	4	[3, 3, 3, 3, 4]	3.3333333333333335	test
676	These are the reasons why I agree about that most people prefer having others making decisions for them rather than making decisions for themselves.	2	[4, 4, 2, 3, 3]	3.0	train
677	But for student to understand ideas it is important for them because it is much easier than to learn or read for the facts about a topic, because they get the idea from some body that knows it and ther is no reason for them to read	3	[3, 3, 3, 3, 3]	3.0	train
678	But it doesn't mention about these's location.	3	[4, 3, 3, 3, 2]	3.0	train
679	It is evident that if we don't take any risks, we can not have any potential in success.	4	[4, 3, 4, 4, 2]	3.5	train
680	-Learn!	4	[3, 3, 4, 4, 4]	3.6666666666666665	test
681	Facts prove or show that somebody has followed a road and he/ she had fallen in a trap.	3	[4, 4, 4, 3, 3]	3.5	train
682	There are very successful politicians that never tried somthing new.	4	[3, 4, 3, 4, 4]	3.6666666666666665	test
683	However, I firmly believe that students have to learn broad knowledge of many academic subjects.	4	[4, 3, 4, 4, 4]	3.8333333333333335	dev
684	Having a lot of desires and dreams, a person can enjoy by reaching each of them after achieving another one.	3	[4, 3, 2, 3, 3]	3.0	train
685	You can become smarter than the other people.	4	[4, 4, 4, 4, 4]	4.0	test
686	In additionaly, students will be more word hard on their favourite subject; furthermore, you can find a good job which is your expert.	2	[2, 1, 2, 3, 2]	2.0	train
687	In a tour group, we are permitted to act in a group only, so we lose a lot of chances to meet various people in the places we travel.	3	[4, 4, 4, 3, 4]	3.6666666666666665	train
688	I larned many kind of subject, also I could make difrent types friends.	3	[2, 2, 3, 2, 2]	2.3333333333333335	dev
689	In my opinion, this statement is groundless and the youngsters today do contribute to their communities to a great extent.	4	[4, 4, 4, 4, 4]	4.0	test
690	And now because of this man i am writing my essay by computer.	4	[3, 3, 3, 3, 3]	3.1666666666666665	test
691	On top of that, even we are willing to spend the time to draft the travel plan, we have no idea on which travel sites are must-see.	2	[3, 3, 4, 3, 2]	2.8333333333333335	dev
692	Therfore, we have to reduced sulfur and nitrogen dioxide.	3	[4, 4, 4, 4, 3]	3.6666666666666665	test
693	They need to have a global vision before deciding what the like, and the way of obtaining it is simply studying a broad syllabus.	3	[3, 3, 3, 2, 3]	2.8333333333333335	dev
694	Actually, i could have been pround in my own product that is unique.	3	[3, 3, 1, 3, 2]	2.5	train
695	Reason of why, I went to Canada last year as a exchange student, and I was staying in Saskatchewan.	2	[3, 2, 3, 3, 3]	2.6666666666666665	train
696	They like very small companies like ford, general motors, etc.	4	[2, 3, 3, 3, 4]	3.1666666666666665	train
697	Most of the the things I hear are not true.	4	[3, 4, 3, 4, 3]	3.5	test
698	I think it is very hard to distribute the point and to make every one to understand, because when few poeple started to do so, they would think it is not fair at all, they are the few who are suffering, other people cannot get it and continue doing the same thing, it just make those people thinks stupid.	3	[1, 1, 2, 2, 2]	1.8333333333333333	test
699	Maybe at the beginning, but time after timer other animals in the inviroment will choose them as their new food.	2	[3, 3, 3, 3, 3]	2.8333333333333335	test
700	but the other way will be a big problem.	4	[4, 3, 2, 3, 4]	3.3333333333333335	train
701	In order to understand these, and more importantly, to link these together, that wisdom will duly serve him.	4	[4, 4, 3, 3, 3]	3.5	dev
702	We can use it.	4	[4, 4, 4, 4, 4]	4.0	dev
703	The older man would prefer to enjoy all the time he has, remembering that we live only once.	4	[3, 4, 3, 4, 4]	3.6666666666666665	test
704	Some people can encounter with people we have no idea about.	3	[3, 4, 2, 3, 3]	3.0	dev
705	When my grandmother getting old, she could not move her body easily.	2	[3, 3, 3, 3, 3]	2.8333333333333335	dev
706	However, if students doesn't understatnd the concept and idea.	3	[3, 3, 3, 2, 4]	3.0	train
707	For exampor many peoples are going to everywhere by car.	3	[3, 3, 3, 3, 3]	3.0	train
708	As a tour guide, the person has to be familiar with the place he or she is touring.	4	[3, 3, 4, 4, 3]	3.5	dev
709	The erorsion is consistent also.	4	[3, 3, 3, 4, 3]	3.3333333333333335	train
710	They can also improve thier knowledge from the visiting of the different locatins in the world.	3	[3, 3, 3, 3, 3]	3.0	train
711	The scraping will causes heat and that heat(energy) will go into the car.	3	[4, 4, 4, 3, 3]	3.5	test
712	Three other costumer have not started using the product because they dont have anything to hang it with.	3	[3, 3, 3, 2, 3]	2.8333333333333335	dev
713	And in the place where there is no train we cannot help using cars.	3	[4, 3, 4, 3, 4]	3.5	dev
714	I do not advocate this theory primarly because even though it may seem as though younger people have no time to have fun, they actually enjoy the process of learning how to live.	4	[4, 3, 4, 2, 4]	3.5	train
715	Advancements in science again helps with this factor and enviromentalists are becoming less hostile towards car produced pollutants.	3	[2, 4, 3, 3, 3]	3.0	train
716	you have to teach your child since he or she was antel they graw up.	1	[3, 2, 3, 2, 3]	2.3333333333333335	dev
717	there is also another benefit for manufacturing such cars , which is that cars manufacturing field is going to be more appealed to other countries and sales range is going to get higher .	3	[4, 3, 3, 2, 1]	2.6666666666666665	train
718	You will face huge difficulties in life if you dont know at least something from every subject.	4	[4, 4, 4, 4, 4]	4.0	test
719	If students have to study for history for example it is often enough to just learn the facts but on the other hand studing for physics or maths needs the understanding of the concepts.	3	[3, 3, 3, 3, 3]	3.0	dev
720	However, the professor states that the pain is not just a phycology thing.	3	[3, 4, 3, 3, 3]	3.1666666666666665	train
721	Lets imagine a person who is major is history and he is having some subjects about psychology , he will gain some interesting information about what psychology talks bout , in another point he will gain knowledge in both subjects , and what if the same person is having some subjects about biology , then he has broad knowledge of many academic subjects .	0	[]	0.0	none
722	Younger generation are more adaptable thus they can adapt to changing technology.	3	[3, 3, 3, 3, 4]	3.1666666666666665	test
723	That is why i m here, to be ready for my education, that is, to be specialized in one specific subject that i would like to learn in every details.	3	[2, 2, 2, 2, 3]	2.3333333333333335	test
724	For example, the subway in New York, bullet trains in Japan, underground tube trains in Singapore and the sky trains in Bangkok travel at lightening speed.	3	[2, 2, 3, 3, 3]	2.6666666666666665	dev
725	Furethermore the professor denies the reading passage which states that treasure does not exsit and it is just fiction.	4	[3, 2, 3, 3, 3]	3.0	test
726	I chose law and began to study everything about italian law.	4	[3, 3, 3, 4, 3]	3.3333333333333335	test
727	Because if someone drinks a lot of Fluorine water , it will probably harmful for himself.	3	[3, 3, 3, 3, 3]	3.0	train
728	for examlpe i study pharmacy coures as my graduate course and then i study many different subsubjects i mean different area of the pharmacy field and some basic medical field which was very essential to understand the humen body and how the disease develope so only then we know how to treat an ill person by study the pharmacology course in more detiles and as a specific subject.	0	[]	0.0	none
729	First, young people have a active mind.	3	[4, 3, 3, 3, 3]	3.1666666666666665	dev
730	Obviously the unreplaciable examination and less enemy can bring huge advance to fulfill the defination about success.	2	[1, 3, 2, 4, 1]	2.1666666666666665	dev
731	Young people nowdays don't give enough time to helping their communities.	4	[4, 3, 4, 4, 4]	3.8333333333333335	dev
732	The commercial was defenately more impressive than the product itself.	4	[3, 4, 3, 3, 3]	3.3333333333333335	dev
733	Money is inportant dicision if peple feel enjoy.	3	[2, 2, 3, 3, 2]	2.5	train
734	But ideas of how you can solve this problem will actually give you a solution to the problem.	4	[3, 4, 3, 4, 3]	3.5	test
735	They give more pretent mtheir products to have some	0	[]	0.0	none
736	And one of them was my friend who had seriouse prblems with her health.	4	[3, 3, 3, 3, 3]	3.1666666666666665	dev
737	To this day, I still remember what we studied that day in class.	4	[4, 4, 4, 4, 4]	4.0	dev
738	Students fall asleep subtly.	4	[3, 3, 4, 3, 3]	3.3333333333333335	train
739	the publishers is ingreese and the writing is likely in declane for the lower standard of readers	3	[3, 2, 3, 1, 3]	2.5	train
740	Ihad good life in my cauntry but everything I got from my patents.	3	[3, 2, 2, 3, 3]	2.6666666666666665	dev
741	Instead of joining a group, I opted to explore the city on my own terms, with my own time schedule.	4	[3, 4, 3, 4, 4]	3.6666666666666665	train
742	this is occored more than 98 years ago.	3	[2, 3, 3, 3, 3]	2.8333333333333335	train
743	After all, personally, until now, I try to go on a diet and manage my health condition more carefully.	3	[4, 3, 3, 4, 4]	3.5	test
744	Here scroll lists that thousands of talents of gold.	2	[1, 2, 3, 3, 1]	2.0	train
745	As well as the knowledge plays also important role in the life, which can be aquired by the understanding the concepts rather than learning the things.	3	[2, 3, 3, 2, 3]	2.6666666666666665	test
746	Most people don't care about the environment or how consuming cars affect the ozone layer greatly.	3	[3, 3, 4, 3, 4]	3.3333333333333335	test
747	But if the student is going only learning things whithout knowing the concept then not any company is give apportunity to that person because he does not know the concept of its related branch so by this way its create a problem in the future.	2	[2, 1, 3, 3, 3]	2.3333333333333335	dev
748	Third, stone tower of east coast is making unnatural way also this tower is unusual in Europe so non Europian might be made this tower.	2	[3, 1, 3, 1, 1]	1.8333333333333333	dev
749	In addition it have a nagatice influence on agriculture.	3	[3, 3, 3, 3, 3]	3.0	test
750	Also they have more responsibilities than young person.	3	[3, 3, 4, 4, 3]	3.3333333333333335	test
751	This made my programming techniques and choice of projects much more solid and aware, for I had the knowledge of the possible repercussions or positive outcomes my work would have.	4	[4, 4, 3, 4, 3]	3.6666666666666665	train
752	secondly, it is an unfair action because it will effect the low-income American .	4	[4, 4, 3, 3, 4]	3.6666666666666665	dev
753	Memories of places visited would have more excitement, as it would not be just the history of the place that you would take with you but also all your efforts in getting to the place and other such experiences.	4	[2, 3, 4, 4, 3]	3.3333333333333335	train
754	The factories are increasing sulfur dioxide to the air every year.	2	[4, 4, 4, 3, 4]	3.5	dev
755	For these reasons, I do not think it is impotant for me to know about events occur around the world which do not affect my own life.	3	[3, 3, 3, 4, 4]	3.3333333333333335	train
756	I went everywhere I want to go, and everything I want to do.	2	[3, 3, 3, 3, 2]	2.6666666666666665	train
757	It`s result in people more mature, strong and calm in front problems of the life, because they undertand the problems go away and it depend what kind manner everybory look the face of the problem.	2	[3, 3, 3, 2, 2]	2.5	dev
758	Frankly, burning forest happened There are many ways to help the burning forest to stop.	3	[2, 2, 3, 2, 3]	2.5	train
759	mony people in my country go in sammer Arab countryies some of go out arab countryies.	1	[3, 3, 3, 3, 3]	2.6666666666666665	train
760	I sold my car to the perpose to move to England.	2	[3, 3, 3, 2, 3]	2.6666666666666665	train
761	so i support the lecture's sight.	3	[3, 3, 3, 3, 3]	3.0	train
762	for example work on a project,.	3	[3, 3, 3, 3, 4]	3.1666666666666665	dev
763	By the way if you keep learning the facts together, all makes you to think and do or start one problem or work with confidence.	2	[2, 4, 4, 3, 2]	2.8333333333333335	train
764	The cars then used to be used by only well off families, because the development and income for families then was not sufficient to offered for a car but now in present days any middle class family can purchase a car.	2	[2, 2, 3, 2, 2]	2.1666666666666665	train
765	The professor said, This can be changed to the different environments.	3	[3, 2, 4, 3, 3]	3.0	test
766	this speace must change gerden.	2	[1, 2, 1, 2, 2]	1.6666666666666667	dev
767	However , exist people that thing that when the people have a forty years ever a older person .	2	[3, 3, 3, 3, 3]	2.8333333333333335	dev
768	All other facts and results you never get in touch with.	4	[3, 4, 3, 2, 4]	3.3333333333333335	train
769	I agree with the fact that the broad knowledge of many different academic subject is better than in one subject.	3	[3, 3, 4, 3, 4]	3.3333333333333335	train
770	Well, I am a student, I study architecture and for me is very important to understand that I study.	3	[3, 3, 3, 3, 3]	3.0	train
771	I am the main person of the next show so I cannot quit practing.	3	[3, 3, 3, 3, 3]	3.0	train
772	Today, he follows the thing.	4	[3, 3, 2, 2, 2]	2.6666666666666665	train
773	One problem is the money behind our government system.	4	[4, 3, 3, 4, 4]	3.6666666666666665	train
774	This casts doubt in the reading passage's assertion that fluoride prevents dental cavities.	2	[4, 4, 3, 3, 4]	3.3333333333333335	test
775	I, on the other hand, have no major responsibility other than studying.	4	[4, 4, 3, 4, 4]	3.8333333333333335	test
776	the good student must know how to understand and work hard to get the iede.	3	[3, 2, 3, 3, 3]	2.8333333333333335	test
777	he gives a example .	4	[3, 3, 3, 3, 3]	3.1666666666666665	train
778	It is worthy of note that not every body will succeed when taking a risk , but that is not enough to deteir anybody who wishes to take one.	4	[4, 3, 3, 3, 3]	3.3333333333333335	dev
779	With a tour guide you do not have to deal with different places to see , you can get better information about the places, and you do not worry about the language problems when you travel to different country.	3	[3, 4, 3, 3, 3]	3.1666666666666665	train
780	As the wild fish are being farming, protein that is in the fish will decrease.	3	[3, 3, 4, 3, 3]	3.1666666666666665	train
781	apparently, I got a Japanese friend in the Japen, his name is Tomo.	3	[4, 3, 3, 2, 2]	2.8333333333333335	dev
782	For every facts the student should raise a question, to have a clear knowledge about the fact.	3	[3, 3, 3, 3, 3]	3.0	train
783	And thie critica use few arguments.	3	[3, 2, 3, 3, 3]	2.8333333333333335	test
784	ets .	0	[]	0.0	none
785	Secondly, the information in videos is very delivered in format, it very familiar with students.	2	[3, 4, 3, 2, 3]	2.8333333333333335	test
786	It was a reasonable price.	4	[4, 4, 4, 4, 3]	3.8333333333333335	test
787	The Listeing section talked about the carbon There are some reasons to against the reading section.	2	[3, 3, 1, 3, 2]	2.3333333333333335	train
788	Because every business have adventage and disadventage, but the disadvantage are better than advantage.	3	[3, 3, 2, 3, 3]	2.8333333333333335	train
789	when they do some work they thinks they have to fine work in time.	3	[4, 2, 3, 1, 3]	2.6666666666666665	dev
790	As the gasoline tax rasing, it will help the vehicle company to make more cars to sell it to people.	2	[4, 3, 3, 3, 3]	3.0	dev
791	Ignorance of striped bass will abbreviate our earning also it has some astonishing effects on our health.	3	[3, 2, 3, 2, 1]	2.3333333333333335	dev
792	Maybe they have some disadvantages in humanity.	4	[4, 4, 4, 4, 3]	3.8333333333333335	dev
793	the placebo effect which some experts conclude that patients beliefs alone have a powerful physiological effect on their madical condition.	2	[3, 3, 2, 3, 3]	2.6666666666666665	train
794	In conclusion, he said that we can overcome all the problem with preserving old buildings.	3	[3, 3, 3, 4, 3]	3.1666666666666665	train
795	Of course, local businesses that depended on park visitors suffered as a result.	4	[4, 4, 3, 3, 4]	3.6666666666666665	test
796	The heart decease patients shows improvement when they are taking placebo.	3	[3, 2, 3, 3, 4]	3.0	test
797	Than I want to write about my self.	3	[2, 3, 3, 3, 3]	2.8333333333333335	train
798	In the lecture, that zebra mussel is not really a serious threat have been proven.	3	[2, 3, 3, 2, 3]	2.6666666666666665	dev
799	Also, he would tend to become more subdued and mellow.	4	[3, 4, 2, 3, 4]	3.3333333333333335	train
800	Why,	0	[]	0.0	none
801	I think it will be lost.	4	[4, 4, 4, 4, 4]	4.0	dev
802	Also, some products should be have advertisement to show how interesting than real things.	2	[3, 2, 4, 2, 1]	2.3333333333333335	train
803	I expect human can make new material to replace gas but it is very difficult.	3	[4, 3, 3, 3, 3]	3.1666666666666665	dev
804	One example the this is the hambuger , when they advertice looks so delicios, and when you tested is not to good.	2	[2, 3, 3, 3, 3]	2.6666666666666665	train
805	For example listerning the lecture in the professers class there we need more concentration in the class, such that the student must understand the concept and perform well in the exam or in the seminar etc.	3	[2, 3, 3, 1, 1]	2.1666666666666665	train
806	For example in the society in which i live, the people owning a car are considered as rich and the most luxurious people than the people who dont.	2	[2, 3, 3, 3, 3]	2.6666666666666665	train
807	Second , you are the staff who worked in this company for a long time .	4	[3, 3, 3, 3, 3]	3.1666666666666665	train
808	I think the behavior is a similar with human.	3	[3, 3, 4, 2, 3]	3.0	train
809	Florida is very positive.	4	[3, 4, 4, 4, 4]	3.8333333333333335	train
810	Ideas and motives for the war are more important to know because from them one might draw some conclusions and it might change something inside the student.	4	[3, 4, 4, 4, 3]	3.6666666666666665	dev
811	He started his career as a professor in the University of Chittagong, Bangladesh.	4	[4, 4, 4, 4, 4]	4.0	train
812	Everything is possible which we can`t imagine.	3	[2, 2, 3, 3, 3]	2.6666666666666665	dev
813	Although there are some rules for protect young peopel such as limiting of aging in movies and preview about the bad aspect of programs before s, it is just made for little kids not young peole like high shcool or university student.	2	[3, 3, 1, 3, 1]	2.1666666666666665	dev
814	However, the fact that they most of the time do not reflect the actual quality of a product decreases the reliability of the advertisements.	4	[3, 4, 3, 4, 2]	3.3333333333333335	dev
815	We seem to have a lot of problem with those even if we have more good materials than in the past.	3	[4, 4, 3, 4, 3]	3.5	dev
816	We can be fatalist an say that with the developing of the third world, the problem will worsen.	3	[3, 3, 3, 3, 3]	3.0	dev
817	This things can make us more successful in life ; even though were that successful we must continue are work, we should take our chances to the greater heights.	3	[3, 2, 3, 3, 2]	2.6666666666666665	dev
818	I don't know why these condition, maybe it's a big compay has a big profit.	1	[3, 2, 3, 3, 1]	2.1666666666666665	train
819	Besides, young people uaually like new-fasion thing, like ipod or mp3, I can see that main part of young peole can't live happily without music in their ear and movies at home.	3	[3, 2, 3, 3, 3]	2.8333333333333335	test
820	While older people is to weak psysically.	3	[2, 3, 2, 2, 2]	2.3333333333333335	train
821	It will be a good way for human health.	3	[3, 3, 3, 3, 3]	3.0	train
822	They are go on do it and do it for better.	2	[3, 2, 3, 3, 2]	2.5	test
823	I would argue, however, that my educational experiences in United States are much more productive and succesful in other aspects.	3	[3, 4, 3, 3, 3]	3.1666666666666665	train
824	However, people don't know there and they don't know how to do is better or what they can't to do.	2	[1, 3, 3, 1, 1]	1.8333333333333333	test
825	For the greeks philosopher Plato an Aristotle, the capacity for understand ideas and concepts, the intelligence as the main ability of the human soul, is the part of ourselves that makes us the being we actually are.	2	[3, 3, 3, 2, 3]	2.6666666666666665	dev
826	disadvantage is that some time may loosing something to trying new things.	2	[3, 2, 3, 3, 2]	2.5	train
827	Instead me, if others make decisions for me, I will often have decisions that I do not want.	3	[3, 1, 2, 2, 2]	2.1666666666666665	train
828	In conclusion understanding the concepts is the more important than learning the facts, because it's the ultimate gole of learning the facts.	3	[3, 4, 3, 3, 3]	3.1666666666666665	dev
829	I basically feel that young people do enjoy their life more than older people do.	3	[4, 4, 3, 4, 3]	3.5	dev
830	Second, Some patients thnink that the placebo cured them while in reality some diseases have some periods in them that after that they disappear.	3	[3, 3, 3, 3, 2]	2.8333333333333335	train
831	First, the ships not only helped them to spread but also they killed by ships.	3	[3, 1, 3, 2, 2]	2.3333333333333335	dev
832	Its measures are twenty meters in high and its material of creation is Limestone, that is a relatively soft stone, susceptible toi erosion.	3	[3, 3, 3, 3, 2]	2.8333333333333335	train
833	so they konw exactly what they read how much they undersood.	3	[2, 3, 2, 2, 3]	2.5	train
834	they might be bored of reading a complex passage.	3	[3, 3, 2, 3, 3]	2.8333333333333335	dev
835	A lot of energy is spent trying to cope with the demands of the workplace and school, leaving very little time for anything else.	4	[4, 4, 4, 4, 3]	3.8333333333333335	train
836	But it is possible to have a broad knowledge of many academis subjects without being specialized in one particular topic ?	4	[3, 3, 4, 3, 3]	3.3333333333333335	dev
837	Travelling is the term that the traveler goes freely other nation or places by him or herself.	2	[2, 2, 2, 2, 2]	2.0	train
838	The third evidence that the stones in the tower on the east coast ot united states and its close to the style in China in 1200s.	2	[3, 3, 3, 1, 3]	2.5	train
839	There is other different part from the passage.	3	[3, 3, 2, 2, 2]	2.5	train
840	So she decides to work in a Nursing Home because she wants to provide care for elderly people.	4	[4, 3, 4, 3, 4]	3.6666666666666665	dev
841	Am not stating my view, as such facts are being implyed by many scientists.	3	[1, 3, 2, 2, 2]	2.1666666666666665	train
842	Personaly, I think acquiring knowledge in various academic subjects is more interesting than focusing on a single subject.	4	[3, 3, 3, 3, 4]	3.3333333333333335	train
843	Producing vehicles that are more fuel efficint will damage roads and that will cost a lot to repair.	4	[3, 4, 3, 3, 3]	3.3333333333333335	test
844	Older people get easily tired and need the rest , because of that, it takes much more time for seniors to travel or do activites while healthy young people do much more activities.	4	[3, 3, 4, 3, 3]	3.3333333333333335	train
845	The same phenomenon might also happen in the case of cars further accelerating their growth.	4	[3, 3, 4, 4, 4]	3.6666666666666665	train
846	These are some pectures of helping the society.	4	[2, 2, 4, 1, 3]	2.6666666666666665	train
847	They tend to serch too big areas, So they should point out critical point.	3	[3, 3, 4, 2, 3]	3.0	train
848	This demonstrates the undeniable fact that it is bebeficial to having differnt experiences.	3	[4, 3, 3, 4, 3]	3.3333333333333335	dev
849	Therefore, they will be more deep thinking person and good for thier future, so theacher should be required to take courses every five years.	3	[3, 3, 3, 3, 2]	2.8333333333333335	dev
850	It causes haze.	4	[3, 3, 4, 4, 3]	3.5	train
851	mainly the ideas of any situations or anything are explained clearly first and the concept in the different ideas must be explained clearly.	4	[3, 3, 3, 3, 3]	3.1666666666666665	train
852	It is very important that he has specialized knowledge in order to be successful in the technical part of his job, however his success is not only limited to that.	4	[3, 3, 4, 4, 4]	3.6666666666666665	train
853	Just give us oportunity and we will be glad to help.	3	[3, 3, 3, 3, 3]	3.0	train
854	We can't learn more so why don't we just concentrate our effort on a specific subject?	4	[4, 4, 4, 3, 3]	3.6666666666666665	train
855	Those things could neaver happen to a older people.	3	[3, 3, 3, 3, 3]	3.0	train
856	In my case, I am working more than 200 hours a month, in order to get money required to pay back to a bank (I borrowed some money for buying my house.).	3	[4, 3, 4, 4, 3]	3.5	dev
857	so measures should be taken to check the fish's population.	4	[3, 3, 3, 3, 3]	3.1666666666666665	test
858	In the lecture, the professor dissagree a point stated in the reading that fluoride prevents dental cavities.	3	[3, 3, 3, 3, 3]	3.0	train
859	some said this product is recomended for the most important doctor or something like that.	2	[1, 3, 3, 3, 3]	2.5	test
860	This creates people to pier pressure.	2	[3, 2, 3, 3, 3]	2.6666666666666665	test
861	for instance, I have to study more than usua to catch up with them.	4	[4, 2, 2, 3, 3]	3.0	train
862	because, student must do homework.	3	[2, 3, 3, 3, 3]	2.8333333333333335	dev
863	In this time , you may want to a tour guide that can find it right.	2	[2, 2, 3, 3, 3]	2.5	train
864	And there are a lot of scientist who just specialize in one specific subject discover important concepts or invent things which make our society more convenience.	3	[3, 3, 2, 2, 3]	2.6666666666666665	test
865	In universe, it is also the fact that matters and perhaps superior.	3	[3, 3, 1, 3, 3]	2.6666666666666665	train
866	it's make a good partner.	3	[3, 4, 2, 3, 3]	3.0	dev
867	For example, last monthe, i bought a product for skin, actully i bought the product beacuse the adevrtising got my attention.	4	[3, 2, 3, 3, 2]	2.8333333333333335	test
868	For example a doctor does not need to know how to construct a building because he doesnt need to know but a architecht showld know that even with the most specific facts, as the doctor should know how to cute a pasient.	2	[2, 3, 1, 3, 3]	2.3333333333333335	train
869	As a result, she could get a job that she badly wanted but she didn't expected because many people were flock to this company.	3	[2, 2, 3, 4, 3]	2.8333333333333335	dev
870	Though he might not be a English teacher in the future, I am very sure that he would be one that the society really needs later on.	3	[2, 2, 3, 1, 4]	2.5	train
871	He may think, that you would easily be able to lead a group and give you a higher position.	2	[3, 3, 3, 3, 3]	2.8333333333333335	train
872	Then I found a professional operated tour trip for San Fransisco.	3	[3, 3, 4, 4, 3]	3.3333333333333335	train
873	Maybe for the ecologistics in twenty years there will be fewer cars in use than there are today not for the citizens that everyday must go to the office.	2	[3, 4, 4, 4, 3]	3.3333333333333335	dev
874	Learning facts could take simpler process than understanding ideas and concepts.	3	[3, 3, 4, 2, 3]	3.0	train
875	Including more of our sense (sense of smell, touch, occasionally taste) would give a much wider, more colorful scale of things to remember and recall even after a long period of time.	3	[3, 3, 3, 2, 4]	3.0	train
876	At this stage, youth require experience of older people to fight this depression.	3	[3, 4, 3, 4, 4]	3.5	dev
877	no one cant decided.	2	[2, 3, 3, 2, 3]	2.5	train
878	For example, I had a grandfather, he liked to speak about his early adult years very much.	4	[3, 4, 3, 4, 4]	3.6666666666666665	train
879	However, the new lie detectors will work by accompanies lying, because people can not hide their brain activity, they will not be able to cheat on these tests.	2	[3, 3, 3, 3, 2]	2.6666666666666665	train
880	In fact this device was different from its competitor products.	4	[3, 3, 4, 3, 4]	3.5	dev
881	Also we do not have to care about other people, it means there is a privacy of us and we can talk loudly or might be able to sing.	3	[3, 3, 3, 3, 2]	2.8333333333333335	dev
882	But i find out that the quality of the bat was very bad.	4	[3, 3, 3, 4, 3]	3.3333333333333335	dev
883	some people only running to the work or used the undertairn, but if you have your cai you can used your car go to your work here.	2	[3, 2, 1, 1, 1]	1.6666666666666667	dev
884	In all this specialize parts we need for the development in the future, wommens and mens with a good specialize knowledge in his part.	2	[3, 3, 3, 3, 2]	2.6666666666666665	train
885	So are going to find out the information about that idea or concept.	2	[3, 2, 3, 3, 3]	2.6666666666666665	train
886	government rising the tax on gasoline.	3	[3, 3, 3, 3, 3]	3.0	dev
887	Newer vehicles are something could fly the sky, then we need't annoy about trafic jams.	2	[3, 3, 2, 3, 2]	2.5	test
888	She is now a succesful businesswoman with a very successful enterprise.	4	[4, 4, 4, 4, 4]	4.0	train
889	So all this opinion 'll raise the stock market of the cooperate.	2	[3, 3, 3, 3, 1]	2.5	train
890	Facts are rigid void abstract they kill the students rather than feeling good to have the idea.	0	[]	0.0	none
891	The professor also says that soy bean should be used as fod for the fish.	3	[3, 4, 3, 3, 3]	3.1666666666666665	dev
892	He was successful aleady in his fields of living electric equipments, but, his began to new dominant of electronics technology and was succeed.	1	[1, 2, 1, 2, 3]	1.6666666666666667	dev
893	Moreover you will have a lot of choices from a tour campany that you can chose for your trip for example you can go wherever you want.	3	[3, 3, 3, 3, 2]	2.8333333333333335	train
894	A good company hires goods buzzers, these buzzers do not lie to consumers, that they use there words to let consumers know the goods is real, they do not praise the goods.	3	[2, 3, 2, 2, 3]	2.5	dev
895	Travelling in a group especially with a tour guide, helps us to make our trip be more productive.	3	[4, 3, 4, 3, 3]	3.3333333333333335	dev
896	And it helps them to improve their lectures' quality and also help students to understand subfe	0	[]	0.0	none
897	On the other hand, the reading passage states that using chemicals is clearly not such a good idea because it can develop parasitic infections in the human body.	4	[4, 4, 4, 4, 4]	4.0	dev
898	Without an interest, on another hand, a student will simply have difficultes in remembering facts.	3	[3, 2, 4, 4, 4]	3.3333333333333335	train
899	Firstly one has to consider the situations in which the different groups are.	4	[3, 3, 4, 3, 2]	3.1666666666666665	train
900	the cost is most important thing to them, if they must not use car they have to live city, it costs them lots of money.	2	[1, 3, 2, 1, 2]	1.8333333333333333	train
901	Therfore, they do not yo purches car for drive too.	2	[3, 3, 2, 2, 2]	2.3333333333333335	train
902	when u specialize in something, you focus all your energy on it.	4	[3, 3, 2, 3, 3]	3.0	train
903	This offers you a lot more possibilities and you can stay at places you like and avoid the ones you don't like.	4	[4, 4, 4, 4, 4]	4.0	test
904	When they down to the forest then produced fire.	1	[3, 3, 3, 2, 4]	2.6666666666666665	dev
